question,answers,top_uris
What are some safety precautions for working with hydraulic tools?,['0545-0110-0001.html'],"['3889822347.html', '3881645067.html', '3881643275.html', '20190421899.html', '3889824139.html']"
"What are the different types of turbochargers and their corresponding diameter and slip factors for MAN Energy Solutions, Mitsubishi H.I. (MET), and ABB TPL?",['9199470987.html'],"['7231426315.html', '74673035659.html', '7231417995.html', '56615688843.html', '7247523339.html']"
What are some possible causes and remedies for running difficulties in an engine?,['9360199563.html'],"['9422409355.html', '7417593483.html', '71018847499__en.html', '71018847499__en.html', '14774329867.html']"
What is the weight of the piston crown,['2265-0400-0039.html'],"['7714433035.html', '2265-0401-0011.html', '2245-0100-0005.html', '7714482315.html', '17668600971.html']"
What are the basic SI units for velocity and speed?,['11720159371.html'],"['12225122187.html', '20089325707.html', '17361826187.html', '6645-0250-0012.html', '7045-0100-0011.html']"
What is the procedure for  taking a piston out of operation and keep running engine?,['15732207883.html'],"['6645-0320-0007.html', '15732272395.html', '15732138251.html', '6645-0320-0007.html', '30769598091.html']"
What are the basic SI units for velocity and speed?,['11720159371.html'],"['12225122187.html', '20089325707.html', '17361826187.html', '6645-0250-0012.html', '7045-0100-0011.html']"
What are some recommended corrosion inhibitors for fresh cooling water treatment?,['7417848459.html'],"['5045-0200-0002.html', '7417840267.html', '7417638411.html', '7417704075.html', '5045-0200-0002.html']"
What precautions should be taken when mounting hydraulic tools?,['19823679243.html'],"['3889822347.html', '3881645067.html', '3881643275.html', 'M5200106-11.html', '3889824139.html']"
What are the different conditions and issues that can be observed in a liner?,['2255-0150-0001.html'],"['7714370315.html', 'P50610-15.html', '2245-0100-0005.html', '2245-0100-0005.html', '7714349323.html']"
What are the steps for dismantling the cylinder lubricator?,['3065-0601-0014.html'],"['7714465419.html', '66934698891.html', '22977553035.html', '4555-0165-0002.html', '3065-0600-0006.html']"
"What is the quantity of pressure switches, nipples, and valves?",['4572-1260-0004.html'],"['9341711499.html', '6645-0140-0003.html', '71018847499__en.html', '71018847499__en.html', '7306061195.html']"
What are the load restrictions when one turbocharger is out of operation?,['6655-0220-0003.html'],"['15732247307.html', '6645-0320-0007.html', '15732272395.html', '60664468747.html', '15732394123.html']"
What is the procedure for shutting off the starting air supply at the starting air receiver?,['6966154507.html'],"['10777900171.html', '9665289611.html', '7171717259.html', '12205216523.html', '12038162571.html']"
What are the different types of plates?,['71005638283.html'],"['7553966731.html', '7553407115.html', 'M5150600-02.html', '8463338763.html', '15732247307.html']"
What are the available options for bearings on the MAN Energy Solutions website?,['7133291787.html'],"['70971637899.html', '74672839947.html', '71005863051.html', '74672846091.html', '17571942027.html']"
What is the purpose of shutting off starting air?,['7535750539.html'],"['10777900171.html', '9665289611.html', '7171717259.html', '12205216523.html', '12038162571.html']"
What is the condition and valuation for the limit case of permanent breakage of the running surface?,['8481993867.html'],"['M5130130-04.html', '30769591563.html', 'M5060116-05.html', 'M5060116-05.html', '8481934859.html']"
What is the purpose of the scavenge port inspection?,['9266325515.html'],"['7714363915.html', '7714349323.html', '7714349323.html', '2245-0100-0005.html', '2245-0100-0005.html']"
What is the purpose of shutting off the control air supply?,['9651471627.html'],"['7437484427.html', '10777913483.html', '7462306699.html', '7466516875.html', '7101350155.html']"
What safety precautions should be followed when working on engine performance?,['M5020100-11.html'],"['6345-0300-0002.html', '8482607755.html', '9147916683.html', '6340-0100-0002.html', '9147837323.html']"
"Scavenging air pressure (Pscav) is too high, what can be cause?",['SCU1-1181.html'],"['9042827787.html', '71018847499__en.html', '16052206219.html', '9042837771.html', '71018847499__en.html']"
"No automatic scavenging air control, what can be cause?",['SCU1-1691.html'],"['7437484427.html', '10777913483.html', '71018847499__en.html', '71018847499__en.html', '71018847499__en.html']"
"TC Lube Oil Inlet Pressure is low, what to do?","['SCU1-LO0282.html', 'SCU1-LO0283.html']","['71018847499__en.html', '71018847499__en.html', '71018847499__en.html', '71018847499__en.html', '71018847499__en.html']"
Have alarm LDCL Circulation pump delta pressure too low. What can be reason?,['CWCU-046003.html'],"['7045-0200-0005.html', '71018847499__en.html', '9777703435.html', '71018847499__en.html', '71018847499__en.html']"
